,causa_acidente,qtd,ano
0,Outras,45968,2007
1,Falta de atenção,42256,2007
2,Não guardar distância de segurança,8137,2007
3,Velocidade incompatível,6011,2007
4,Defeito mecânico em veículo,5403,2007
5,Animais na Pista,4202,2007
6,Desobediência à sinalização,4041,2007
7,Dormindo,3364,2007
8,Ingestão de álcool,3106,2007
9,Ultrapassagem indevida,2839,2007
10,Defeito na via,2348,2007
0,Outras,49971,2008
1,Falta de atenção,46307,2008
2,Não guardar distância de segurança,9742,2008
3,Velocidade incompatível,7915,2008
4,Defeito mecânico em veículo,5858,2008
5,Desobediência à sinalização,4592,2008
6,Animais na Pista,4582,2008
7,Ingestão de álcool,3561,2008
8,Dormindo,3330,2008
9,Ultrapassagem indevida,2994,2008
10,Defeito na via,2191,2008
0,Outras,55549,2009
1,Falta de atenção,52070,2009
2,Não guardar distância de segurança,11476,2009
3,Velocidade incompatível,10324,2009
4,Defeito mecânico em veículo,6019,2009
5,Desobediência à sinalização,5171,2009
6,Ingestão de álcool,4813,2009
7,Animais na Pista,4205,2009
8,Dormindo,3335,2009
9,Ultrapassagem indevida,3073,2009
10,Defeito na via,2611,2009
0,Falta de atenção,60879,2010
1,Outras,56871,2010
2,Não guardar distância de segurança,15588,2010
3,Velocidade incompatível,13673,2010
4,Desobediência à sinalização,7157,2010
5,Defeito mecânico em veículo,6944,2010
6,Ingestão de álcool,6806,2010
7,Animais na Pista,4803,2010
8,Dormindo,4402,2010
9,Ultrapassagem indevida,3932,2010
10,Defeito na via,2414,2010
0,Falta de atenção,63526,2011
1,Outras,56505,2011
2,Não guardar distância de segurança,17311,2011
3,Velocidade incompatível,16169,2011
4,Desobediência à sinalização,7823,2011
5,Ingestão de álcool,7559,2011
6,Defeito mecânico em veículo,6981,2011
7,Animais na Pista,5008,2011
8,Dormindo,4404,2011
9,Ultrapassagem indevida,4249,2011
10,Defeito na via,2790,2011
11,(null),1,2011
0,Falta de atenção,61205,2012
1,Outras,49582,2012
2,Não guardar distância de segurança,18804,2012
3,Velocidade incompatível,16830,2012
4,Desobediência à sinalização,7789,2012
5,Ingestão de álcool,7594,2012
6,Defeito mecânico em veículo,6831,2012
7,Animais na Pista,4834,2012
8,Dormindo,4625,2012
9,Ultrapassagem indevida,4134,2012
10,Defeito na via,2339,2012
11,(null),1,2012
0,Falta de atenção,62854,2013
1,Outras,44055,2013
2,Não guardar distância de segurança,21571,2013
3,Velocidade incompatível,18694,2013
4,Desobediência à sinalização,8078,2013
5,Ingestão de álcool,7527,2013
6,Defeito mecânico em veículo,7162,2013
7,Dormindo,4827,2013
8,Animais na Pista,4768,2013
9,Ultrapassagem indevida,4472,2013
10,Defeito na via,2740,2013
0,Falta de atenção,55089,2014
1,Outras,38990,2014
2,Não guardar distância de segurança,19588,2014
3,Velocidade incompatível,17716,2014
4,Desobediência à sinalização,8167,2014
5,Ingestão de álcool,7391,2014
6,Defeito mecânico em veículo,6886,2014
7,Dormindo,4794,2014
8,Ultrapassagem indevida,4245,2014
9,Animais na Pista,3737,2014
10,Defeito na via,2598,2014
0,Falta de atenção,36805,2015
1,Outras,29064,2015
2,Velocidade incompatível,14262,2015
3,Não guardar distância de segurança,11402,2015
4,Ingestão de álcool,6745,2015
5,Desobediência à sinalização,6015,2015
6,Defeito mecânico em veículo,5729,2015
7,Dormindo,4067,2015
8,Animais na Pista,3080,2015
9,Ultrapassagem indevida,2998,2015
10,Defeito na via,1994,2015
0,Falta de atenção,26451,2016
1,Outras,24668,2016
2,Velocidade incompatível,12322,2016
3,Não guardar distância de segurança,6361,2016
4,Ingestão de álcool,6332,2016
5,Defeito mecânico em veículo,5111,2016
6,Desobediência à sinalização,4852,2016
7,Dormindo,3763,2016
8,Animais na Pista,2605,2016
9,Ultrapassagem indevida,2327,2016
10,Defeito na via,1571,2016
0,Falta de Atenção à Condução,34510,2017
1,Velocidade Incompatível,10432,2017
2,Ingestão de Álcool,6448,2017
3,Não guardar distância de segurança,5837,2017
4,Desobediência às normas de trânsito pelo condutor,5219,2017
5,Defeito Mecânico no Veículo,4649,2017
6,Pista Escorregadia,4253,2017
7,Condutor Dormindo,3798,2017
8,Animais na Pista,2624,2017
9,Falta de Atenção do Pedestre,2390,2017
10,Ultrapassagem Indevida,2054,2017
11,Avarias e/ou desgaste excessivo no pneu,1588,2017
12,Defeito na Via,1422,2017
13,Mal Súbito,972,2017
14,Restrição de Visibilidade,884,2017
15,Objeto estático sobre o leito carroçável,769,2017
16,Carga excessiva e/ou mal acondicionada,545,2017
17,Fenômenos da Natureza,442,2017
18,Sinalização da via insuficiente ou inadequada,414,2017
19,Deficiência ou não Acionamento do Sistema de Iluminação/Sinalização do Veículo,235,2017
20,Ingestão de Substâncias Psicoativas,78,2017
