UF,Qtd,ano
MG,41199,2007
MG,45174,2008
MG,50424,2009
MG,54901,2010
MG,55095,2011
MG,54011,2012
MG,54782,2013
MG,46210,2014
MG,33224,2015
MG,31142,2016
MG,31881,2017
MG,24268,2018
MG,23831,2019
MG,22238,2020
MG,21699,2021
MG,22521,2022
MG,25547,2023
SC,30649,2007
SC,32614,2008
SC,37248,2009
SC,40746,2010
SC,40368,2011
SC,38662,2012
SC,40330,2013
SC,38522,2014
SC,30091,2015
SC,22985,2016
SC,24941,2017
SC,20582,2018
SC,20648,2019
SC,17440,2020
SC,18879,2021
SC,18603,2022
SC,19685,2023
RJ,24143,2007
RJ,28163,2008
RJ,29716,2009
RJ,34479,2010
RJ,38002,2011
RJ,36834,2012
RJ,36543,2013
RJ,33581,2014
RJ,20892,2015
RJ,13458,2016
RJ,13763,2017
RJ,11250,2018
RJ,11310,2019
RJ,10230,2020
RJ,11147,2021
RJ,11470,2022
RJ,13677,2023
RS,22215,2007
RS,23504,2008
RS,24442,2009
RS,31237,2010
RS,31939,2011
RS,30298,2012
RS,32829,2013
RS,30532,2014
RS,21533,2015
RS,17079,2016
RS,16200,2017
RS,11732,2018
RS,12209,2019
RS,10814,2020
RS,11558,2021
RS,13111,2022
RS,13197,2023
SP,21729,2007
SP,24021,2008
SP,24474,2009
SP,26076,2010
SP,27654,2011
SP,27805,2012
SP,28220,2013
SP,25235,2014
SP,18376,2015
SP,14380,2016
SP,14584,2017
SP,11391,2018
SP,10967,2019
SP,10045,2020
SP,10508,2021
SP,11172,2022
SP,12200,2023
BA,17444,2007
BA,18910,2008
BA,19833,2009
BA,22073,2010
BA,23756,2011
BA,23349,2012
BA,23565,2013
BA,23394,2014
BA,16183,2015
BA,12905,2016
BA,12718,2017
BA,10090,2018
BA,9897,2019
BA,9548,2020
BA,9508,2021
BA,9864,2022
BA,11054,2023
PR,14903,2007
PR,19421,2008
PR,31926,2009
PR,44087,2010
PR,48588,2011
PR,45225,2012
PR,43963,2013
PR,37792,2014
PR,28306,2015
PR,24432,2016
PR,26628,2017
PR,20225,2018
PR,19975,2019
PR,17800,2020
PR,18841,2021
PR,19613,2022
PR,20504,2023
ES,13275,2007
ES,13657,2008
ES,14448,2009
ES,16941,2010
ES,17017,2011
ES,16597,2012
ES,17761,2013
ES,17296,2014
ES,10630,2015
ES,7232,2016
ES,7295,2017
ES,6501,2018
ES,6932,2019
ES,5993,2020
ES,6336,2021
ES,5839,2022
ES,5640,2023
GO,11749,2007
GO,13543,2008
GO,15621,2009
GO,19074,2010
GO,18361,2011
GO,17752,2012
GO,18221,2013
GO,15563,2014
GO,13846,2015
GO,11449,2016
GO,10999,2017
GO,9047,2018
GO,8858,2019
GO,8616,2020
GO,8597,2021
GO,8492,2022
GO,8730,2023
PE,10164,2007
PE,11604,2008
PE,13174,2009
PE,16846,2010
PE,18260,2011
PE,16042,2012
PE,17059,2013
PE,16657,2014
PE,11418,2015
PE,8220,2016
PE,8194,2017
PE,6723,2018
PE,6702,2019
PE,6284,2020
PE,6476,2021
PE,6859,2022
PE,7607,2023
